1|Karine Dupont|Legal|104750|karine@enterprise.com|theme:dark,language:es,notifications:enabled,timezone:UTC+9
2|Véronique Thomas|R&D|76866|véronique@enterprise.com,véronique.thomas@enterprise.com|theme:auto,language:fr,notifications:disabled
3|Véronique Andre|Marketing|64189|véronique@company.com,véronique.andre@corp.com,v.andre@corp.com|theme:dark,language:es,notifications:disabled,font_size:medium
4|Quentin Clement|R&D|73833|quentin@corp.com,quentin.clement@corp.com|theme:light,language:de,notifications:enabled,timezone:UTC+6,font_size:small
5|Béatrice Petit|R&D|73081|béatrice@enterprise.com,béatrice.petit@corp.com|theme:auto,language:es,notifications:enabled,font_size:medium
6|William Gauthier|Sales|65030|william@corp.com|theme:auto,language:de,notifications:disabled,timezone:UTC+4,font_size:medium
7|Nina Rousseau|Finance|85494|nina@company.com,nina.rousseau@corp.com,n.rousseau@company.com|theme:light,language:de,notifications:enabled,timezone:UTC+12
8|Véronique Mathieu|HR|67966|véronique@enterprise.com,véronique.mathieu@corp.com,v.mathieu@enterprise.com|theme:light,language:fr,notifications:enabled,sidebar:expanded
9|Yasmine Martinez|IT|79166|yasmine@enterprise.com|theme:light,language:it,notifications:enabled,timezone:UTC+3
10|Marie Garcia|IT|69360|marie@corp.com|theme:light,language:de,notifications:enabled
11|Thomas Lefebvre|Administration|77392|thomas@corp.com|theme:auto,language:es,notifications:disabled,sidebar:expanded
12|Alice Robert|R&D|90848|alice@enterprise.com,a.robert@company.com|theme:light,language:it,notifications:enabled
13|Cédric Durand|HR|75787|cédric@company.com|theme:light,language:fr,notifications:enabled,timezone:UTC+12
14|Kevin Martin|Marketing|59522|kevin@enterprise.com|theme:auto,language:es,notifications:disabled
15|Yasmine Petit|Legal|99647|yasmine@enterprise.com|theme:auto,language:it,notifications:enabled,timezone:UTC+11
16|Louis Blanc|IT|76518|louis@corp.com|theme:dark,language:es,notifications:disabled,timezone:UTC+1,font_size:small
17|Eric Muller|Marketing|85447|eric@corp.com|theme:dark,language:de,notifications:disabled,sidebar:collapsed
18|Igor Nicolas|Operations|74051|igor@enterprise.com,igor.nicolas@company.com|theme:auto,language:en,notifications:disabled
19|Zoé Mercier|Sales|60606|zoé@company.com|theme:dark,language:en,notifications:disabled,timezone:UTC+0
20|Cédric Simon|R&D|75355|cédric@company.com|theme:dark,language:es,notifications:disabled,timezone:UTC+6
21|Simon Michel|Finance|73204|simon@company.com|theme:light,language:de,notifications:enabled
22|Laura Dupont|Legal|90724|laura@corp.com,laura.dupont@corp.com|theme:light,language:fr,notifications:disabled,timezone:UTC+6,font_size:small
23|Laura Dubois|Legal|102113|laura@company.com,laura.dubois@enterprise.com|theme:dark,language:es,notifications:disabled,timezone:UTC+8,sidebar:collapsed
24|Nicolas Bernard|Legal|96647|nicolas@enterprise.com|theme:light,language:en,notifications:disabled,timezone:UTC+9
25|Julie Dubois|HR|56615|julie@corp.com,j.dubois@corp.com|theme:auto,language:en,notifications:enabled,timezone:UTC+9
26|Rachel Perrin|IT|67103|rachel@company.com|theme:dark,language:es,notifications:disabled,timezone:UTC+1,font_size:medium
27|Julie Lambert|Marketing|80819|julie@company.com|theme:dark,language:fr,notifications:enabled,timezone:UTC+3,font_size:small
28|Pierre Muller|Marketing|77364|pierre@enterprise.com,pierre.muller@company.com|theme:auto,language:en,notifications:disabled
29|Jacques Rousseau|Legal|93944|jacques@corp.com|theme:dark,language:it,notifications:disabled,font_size:large
30|Isabelle Fontaine|Marketing|81999|isabelle@enterprise.com,isabelle.fontaine@company.com|theme:auto,language:de,notifications:disabled,font_size:small,sidebar:collapsed
31|Françoise Francois|Finance|72742|françoise@corp.com|theme:auto,language:fr,notifications:enabled,font_size:large
32|Diana Girard|Legal|101297|diana@company.com|theme:dark,language:en,notifications:enabled
33|William Dumont|HR|66042|william@company.com,william.dumont@enterprise.com|theme:auto,language:it,notifications:disabled,timezone:UTC+3,sidebar:collapsed
34|Françoise Dubois|Operations|63863|françoise@enterprise.com|theme:auto,language:de,notifications:enabled,sidebar:collapsed
35|Louis Martinez|Finance|88990|louis@corp.com|theme:light,language:fr,notifications:enabled,timezone:UTC+7,font_size:large,sidebar:expanded
36|Vincent Blanc|Customer Service|64019|vincent@enterprise.com,vincent.blanc@company.com|theme:light,language:it,notifications:enabled,timezone:UTC+12,font_size:medium
37|Françoise Garcia|Administration|50915|françoise@company.com,françoise.garcia@company.com|theme:light,language:de,notifications:disabled,timezone:UTC+12
38|Quentin Girard|IT|91365|quentin@corp.com|theme:auto,language:es,notifications:disabled,font_size:small
39|Hortense Bernard|Sales|75669|hortense@corp.com|theme:light,language:es,notifications:enabled,timezone:UTC+8,font_size:large
40|Delphine Dumont|Sales|77976|delphine@corp.com|theme:auto,language:es,notifications:enabled
41|Kevin Rousseau|R&D|71181|kevin@enterprise.com|theme:dark,language:es,notifications:enabled,timezone:UTC+8,font_size:large,sidebar:expanded
42|Tania Mathieu|Finance|86496|tania@corp.com|theme:auto,language:es,notifications:enabled,font_size:medium
43|Jacques Lopez|Legal|75423|jacques@enterprise.com|theme:dark,language:en,notifications:enabled,timezone:UTC+10
44|Kevin Blanc|Marketing|74683|kevin@corp.com,kevin.blanc@corp.com|theme:auto,language:en,notifications:enabled,sidebar:collapsed
45|Louis Bonnet|Legal|93629|louis@corp.com|theme:dark,language:de,notifications:enabled,timezone:UTC+0
46|Françoise Guerin|Finance|87587|françoise@corp.com,françoise.guerin@enterprise.com|theme:auto,language:fr,notifications:disabled,timezone:UTC+1,sidebar:collapsed
47|Gabriel Robin|HR|53753|gabriel@corp.com|theme:auto,language:en,notifications:enabled
48|Olivier Rousseau|Customer Service|72710|olivier@corp.com|theme:auto,language:en,notifications:enabled,timezone:UTC+3,font_size:small,sidebar:collapsed
49|Véronique Moreau|Sales|55921|véronique@enterprise.com|theme:dark,language:en,notifications:enabled,timezone:UTC+10
50|Zahra Blanc|Legal|92616|zahra@company.com,zahra.blanc@company.com|theme:light,language:fr,notifications:disabled,timezone:UTC+7,font_size:small
51|Xavier Moreau|R&D|80775|xavier@enterprise.com,xavier.moreau@enterprise.com|theme:dark,language:fr,notifications:disabled,font_size:large
52|Ursule Bertrand|Administration|57409|ursule@enterprise.com|theme:light,language:fr,notifications:enabled,timezone:UTC+10,font_size:large
53|Eric Martin|Marketing|69101|eric@enterprise.com|theme:light,language:de,notifications:enabled
54|Thomas Mercier|Administration|51466|thomas@enterprise.com|theme:dark,language:de,notifications:disabled,timezone:UTC+9
55|Diana Henry|Finance|63865|diana@company.com|theme:light,language:de,notifications:enabled,timezone:UTC+10
56|Fanny Morel|Legal|92391|fanny@enterprise.com,fanny.morel@corp.com|theme:light,language:de,notifications:enabled
57|Zahra Mercier|HR|60912|zahra@enterprise.com|theme:light,language:es,notifications:disabled,font_size:medium
58|Béatrice Roussel|Administration|54057|béatrice@corp.com|theme:dark,language:it,notifications:enabled,timezone:UTC+4
59|Nicolas Fournier|Customer Service|48010|nicolas@company.com|theme:light,language:fr,notifications:disabled,timezone:UTC+4,font_size:small,sidebar:expanded
60|Yves Francois|R&D|79675|yves@company.com,yves.francois@company.com|theme:light,language:fr,notifications:disabled,timezone:UTC+4,sidebar:expanded
61|Xavier Perrin|Customer Service|61089|xavier@enterprise.com,xavier.perrin@corp.com|theme:dark,language:en,notifications:enabled,sidebar:collapsed
62|Delphine Mathieu|HR|64032|delphine@corp.com,delphine.mathieu@corp.com,d.mathieu@enterprise.com|theme:dark,language:en,notifications:enabled,timezone:UTC+4,font_size:small
63|Marie Clement|Legal|75944|marie@corp.com,marie.clement@corp.com|theme:light,language:es,notifications:disabled,font_size:medium
64|Véronique Garnier|Customer Service|46622|véronique@company.com,véronique.garnier@company.com|theme:auto,language:de,notifications:disabled
65|Kevin Michel|Customer Service|48694|kevin@corp.com|theme:auto,language:en,notifications:enabled,timezone:UTC+8,font_size:medium,sidebar:collapsed
66|Françoise Guerin|HR|52364|françoise@corp.com|theme:light,language:it,notifications:disabled
67|Patricia Rousseau|Finance|80025|patricia@corp.com,patricia.rousseau@corp.com|theme:dark,language:en,notifications:enabled,timezone:UTC+4
68|Patricia Durand|Sales|74668|patricia@enterprise.com|theme:auto,language:fr,notifications:enabled,font_size:medium
69|Ursule Martin|HR|54554|ursule@company.com,ursule.martin@corp.com|theme:dark,language:es,notifications:enabled,font_size:medium,sidebar:expanded
70|Julie Dupont|Operations|68715|julie@company.com,julie.dupont@corp.com|theme:auto,language:en,notifications:disabled,timezone:UTC+2,font_size:medium
71|Kevin Garnier|Marketing|60962|kevin@enterprise.com|theme:light,language:it,notifications:enabled,sidebar:collapsed
72|Hélène David|Sales|81635|hélène@company.com|theme:light,language:it,notifications:enabled
73|Delphine Morel|R&D|97998|delphine@company.com,delphine.morel@company.com|theme:light,language:en,notifications:enabled,timezone:UTC+0,font_size:small,sidebar:expanded
74|Simon Dupont|Sales|80922|simon@company.com|theme:dark,language:de,notifications:disabled
75|Isabelle Faure|Operations|66049|isabelle@corp.com,isabelle.faure@enterprise.com|theme:dark,language:en,notifications:disabled
76|Yasmine Mathieu|Legal|88665|yasmine@company.com,y.mathieu@corp.com|theme:dark,language:de,notifications:enabled
77|Françoise Lefebvre|Finance|71651|françoise@company.com,françoise.lefebvre@enterprise.com|theme:light,language:de,notifications:disabled,font_size:small
78|Béatrice Leroy|HR|77121|béatrice@company.com|theme:light,language:es,notifications:disabled,font_size:small
79|Yves Legrand|IT|73075|yves@enterprise.com,yves.legrand@corp.com|theme:auto,language:es,notifications:disabled
80|Vincent Martin|Administration|72918|vincent@corp.com|theme:dark,language:fr,notifications:disabled,timezone:UTC+7
81|Ursule Moreau|HR|72940|ursule@corp.com,ursule.moreau@corp.com|theme:light,language:de,notifications:disabled
82|Rachel Mathieu|Marketing|61108|rachel@company.com,rachel.mathieu@company.com|theme:light,language:es,notifications:disabled,timezone:UTC+5
83|Thomas Laurent|IT|82022|thomas@company.com,thomas.laurent@enterprise.com|theme:dark,language:en,notifications:disabled,timezone:UTC+0,font_size:small
84|Quentin Robert|Administration|58844|quentin@company.com,quentin.robert@corp.com|theme:dark,language:es,notifications:enabled,timezone:UTC+3
85|Vincent David|Marketing|70474|vincent@company.com|theme:dark,language:en,notifications:disabled,timezone:UTC+4,sidebar:collapsed
86|Odette Rousseau|Customer Service|50568|odette@company.com,odette.rousseau@enterprise.com|theme:auto,language:it,notifications:enabled,font_size:medium
87|Fanny Bertrand|Marketing|68972|fanny@company.com,fanny.bertrand@corp.com|theme:auto,language:fr,notifications:disabled
88|Cédric Roussel|Administration|73566|cédric@corp.com|theme:dark,language:es,notifications:enabled,font_size:large
89|Hélène Lopez|Administration|65003|hélène@enterprise.com,hélène.lopez@company.com|theme:auto,language:en,notifications:disabled,font_size:large
90|Françoise Mercier|Legal|90949|françoise@enterprise.com|theme:light,language:fr,notifications:disabled,timezone:UTC+2,sidebar:expanded
91|Jacques Bonnet|HR|62498|jacques@corp.com|theme:light,language:fr,notifications:disabled,timezone:UTC+7
92|Laura Robert|Finance|65388|laura@company.com|theme:auto,language:en,notifications:disabled,timezone:UTC+3
93|Béatrice Faure|Administration|54316|béatrice@company.com,béatrice.faure@enterprise.com|theme:light,language:fr,notifications:enabled,timezone:UTC+10,font_size:medium
94|Karine Girard|Sales|63247|karine@enterprise.com,karine.girard@corp.com|theme:dark,language:en,notifications:disabled,timezone:UTC+1,sidebar:collapsed
95|Thomas Laurent|Sales|72180|thomas@enterprise.com|theme:light,language:it,notifications:enabled
96|Gabriel Vincent|Sales|80316|gabriel@company.com|theme:dark,language:fr,notifications:enabled,timezone:UTC+6
97|Simon Michel|Finance|74517|simon@enterprise.com,simon.michel@company.com|theme:light,language:fr,notifications:disabled,timezone:UTC+7
98|Zoé Francois|Finance|79584|zoé@corp.com|theme:light,language:de,notifications:enabled,timezone:UTC+2
99|Quentin Moreau|Sales|55460|quentin@corp.com,quentin.moreau@enterprise.com|theme:light,language:en,notifications:enabled
100|Ulysse Lefevre|Administration|53030|ulysse@company.com|theme:dark,language:de,notifications:enabled

